3,1,11/6/18 18:26,,Auto Draft,,auto-draft,open,open,,,,,11/6/18 18:26,,,0,https://advancedbreastcancer.net/?p=3,0,post,,0,NULL,abc
4,1,11/6/18 18:27,11/6/18 18:27,Member Login,,publish,closed,closed,,member-login,,,3/15/19 15:28,3/15/19 19:28,,0,https://advancedbreastcancer.net/?page_id=4,0,page,,0,NULL,abc
5,1,11/6/18 18:27,11/6/18 18:27,Activity,,publish,closed,closed,,activity,,,1/8/19 12:54,1/8/19 17:54,,0,https://advancedbreastcancer.net/?page_id=5,0,page,,0,NULL,abc
6,111,11/6/18 18:27,11/6/18 18:27,Members,,publish,closed,closed,,members,,,1/8/19 12:56,1/8/19 17:56,,0,https://advancedbreastcancer.net/?page_id=6,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",abc
23,1,11/6/18 18:28,11/6/18 18:28,Refer a Friend,,publish,closed,closed,,refer-a-friend,,,11/6/18 18:28,11/6/18 18:28,,0,https://advancedbreastcancer.net/?page_id=23,0,page,,0,NULL,abc
24,111,11/6/17 18:28,11/6/17 18:28,About Us,,publish,closed,closed,,about-us,,,3/11/19 11:32,3/11/19 15:32,,0,https://advancedbreastcancer.net/?page_id=24,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",abc
25,1,11/6/17 18:28,11/6/17 18:28,Activate,,publish,closed,closed,,activate,,,11/9/18 14:19,11/9/18 19:19,,0,https://advancedbreastcancer.net/?page_id=25,0,page,,0,NULL,abc
26,111,11/6/17 18:28,11/6/17 18:28,Community Rules,,publish,closed,closed,,community-rules,,,1/17/19 15:45,1/17/19 20:45,,24,https://advancedbreastcancer.net/?page_id=26,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",abc
27,111,11/6/17 18:28,11/6/17 18:28,Contact Us,,publish,closed,closed,,contact-us,,,12/17/18 15:56,12/17/18 20:56,,0,https://advancedbreastcancer.net/?page_id=27,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",abc
28,111,11/6/17 18:28,11/6/17 18:28,Privacy Policy,,publish,closed,closed,,privacy-policy,,,1/15/19 9:33,1/15/19 14:33,,0,https://advancedbreastcancer.net/?page_id=28,0,page,,0,NULL,abc
29,111,11/6/17 18:28,11/6/17 18:28,Terms of Use,,publish,closed,closed,,terms-of-use,,,12/18/18 15:32,12/18/18 20:32,,0,https://advancedbreastcancer.net/?page_id=29,0,page,,0,NULL,abc
30,1,11/6/17 18:28,11/6/17 18:28,Register,,publish,closed,closed,,register,,,11/9/18 14:22,11/9/18 19:22,,0,https://advancedbreastcancer.net/?page_id=30,0,page,,0,NULL,abc
31,1,11/6/17 18:28,11/6/17 18:28,Subscribe,,publish,closed,closed,,subscribe,,,4/1/19 16:54,4/1/19 20:54,,0,https://advancedbreastcancer.net/?page_id=31,0,page,,0," showIfLoggedIn=‰ÛÏ1‰Ûù campaign=\subscribe\"" source=‰ÛÏsite‰Ûù title=\""Sign up for emails from {{site-name}}:\""""",abc
32,1,11/6/17 18:28,11/6/17 18:28,,,publish,closed,closed,,unsubscribe,,,11/6/17 18:28,11/6/17 18:28,,0,https://advancedbreastcancer.net/?page_id=32,0,page,,0,NULL,abc
33,2,11/6/18 18:30,,Auto Draft,,auto-draft,open,open,,,,,11/6/18 18:30,,,0,https://advancedbreastcancer.net/?p=33,0,post,,0,NULL,abc
34,3,11/6/18 19:27,,Auto Draft,,auto-draft,open,open,,,,,11/6/18 19:27,,,0,https://advancedbreastcancer.net/?p=34,0,post,,0,NULL,abc
35,3,11/7/18 18:40,,Auto Draft,,auto-draft,open,open,,,,,11/7/18 18:40,,,0,https://advancedbreastcancer.net/?p=35,0,post,,0,NULL,abc
36,4,11/7/18 21:29,,Auto Draft,,auto-draft,open,open,,,,,11/7/18 21:29,,,0,https://advancedbreastcancer.net/?p=36,0,post,,0,NULL,abc
37,31,11/9/18 14:50,,Auto Draft,,auto-draft,open,closed,,,,,11/9/18 14:50,,,0,https://advancedbreastcancer.net/?p=37,0,post,,0,NULL,abc
38,99,11/9/18 14:57,,Auto Draft,,auto-draft,open,closed,,,,,11/9/18 14:57,,,0,https://advancedbreastcancer.net/?p=38,0,post,,0,NULL,abc
39,95,11/9/18 15:01,,Auto Draft,,auto-draft,open,closed,,,,,11/9/18 15:01,,,0,https://advancedbreastcancer.net/?p=39,0,post,,0,NULL,abc
40,42,11/9/18 15:06,,Auto Draft,,auto-draft,open,closed,,,,,11/9/18 15:06,,,0,https://advancedbreastcancer.net/?p=40,0,post,,0,NULL,abc
41,89,11/9/18 15:18,,Auto Draft,,auto-draft,open,closed,,,,,11/9/18 15:18,,,0,https://advancedbreastcancer.net/?p=41,0,post,,0,NULL,abc
42,88,11/10/18 18:19,,Auto Draft,,auto-draft,open,closed,,,,,11/10/18 18:19,,,0,https://advancedbreastcancer.net/?p=42,0,post,,0,NULL,abc
43,102,11/12/18 9:24,,Auto Draft,,auto-draft,open,closed,,,,,11/12/18 9:24,,,0,https://advancedbreastcancer.net/?p=43,0,post,,0,NULL,abc
44,83,11/12/18 11:55,,Auto Draft,,auto-draft,open,closed,,,,,11/12/18 11:55,,,0,https://advancedbreastcancer.net/?p=44,0,post,,0,NULL,abc
45,86,11/12/18 17:23,,Auto Draft,,auto-draft,open,closed,,,,,11/12/18 17:23,,,0,https://advancedbreastcancer.net/?p=45,0,post,,0,NULL,abc
